Event Link,Date & Time,Event Name,Location,Event Description,Attendees,Hosted By,Category
https://www.meetup.com/gtagerman/events/304819360/?recId=98b32fcd-cb3d-49db-bdb5-f0d606ec024e&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-18T19:00:00-05:00,Deutscher Stammtisch,"39 Prince Arthur Ave · Toronto, ON","**Please note this is NOT a language learning event: it is intended for those with agood command of German. If you are learning German, please check out our calendar for the German Conversations event the fourth Wednesday of the month (e.g. October 23 this month) which is designed for you!**
Let's shake things up ever so slightly by trying out some other quality places in the immediate area. Thanks to a group member for the suggestion to try the Duke of York just a bit further east on Prince Arthur between Bedford and Avenue Road. They have indoor and outdoor spaces, good food and lots of beers. In business for decades, it is a great Toronto neighbourhood institution.
----Thank you to our sponsor – Wir danken unserem SponsorOur group could not exist without our sponsor, Steffen Hugo. Professional Real Estate Services for Houses, Condos, Investments, Rentals. More infohere.Ohne unseren Sponsor, Steffen Hugo, ginge diese Meetupgruppe nicht. Profesionelle Immobiliendienstleistungen für Häuser, Wohnungen,Investitionsobjekte, Vermietungen. Weitere Infoshier.----
Website/Webseite: https://dukepubs.ca/duke-of-york/Address/Adresse: 39 Prince Arthur Ave, Toronto, ON M5R 1B2Google Maps: https://goo.gl/maps/DunJjLY8ehZ3A84JATTC: Subway Lines 1 or 2 to St. George. Take the Bedford exit, then 100m to the pub. / U-Bahnlinien 1 oder 2 bis St. George. Ausgang Bedford, dann 100m zu Fuss.Green P Parking:Carpark 58around the corner off Bedford north of Bloor St W / um die Ecke in der Bedford St nördlich der Bloor Street.Bike Share Toronto station: Taddle Creek Park, Lowther and Bedford / im Taddle Creek Park, Lowther Ecke Bedford.
Please RVSP, because this helps us with planning. Bitte meldet Ihr Euch an, weil es uns bei der Planung hilft.
COVID-19 Health Policy – COVID-19 GesundheitsregelnWe want to protect your health, the health of your fellow members, and the health of the staff members where we meet. We encourage all attendees to be fully vaccinated, and encourage the wearing of masks when not seated or standing at one of our tables.Wir wollen Ihre Gesundheit, die der anderen Mitglieder der Gruppe und der Mitarbeiter, wo wir uns treffen, schützen. Wir empfehlen, daß Ihr vollständig geimpft seid. Wir empfehlen eine Maske zu tragen wenn Ihr nicht an einem Tisch sitzt oder steht.
I look forward to seeing everyone! Ich freue mich auf Euren Besuch!
Yours / Grüße,
Robert QuickertOrganizer – Greater Toronto German Club",3,Robert Q.,Entertainment
https://www.meetup.com/black-flag-blockchain-enthusiast-meetup/events/304651041/?recId=98b32fcd-cb3d-49db-bdb5-f0d606ec024e&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-06T18:00:00-05:00,🏴 Black Flag monthly meetup,"56 the  Esplandale, Toronto, 56 the esplandale, Toronto · Toronto, ON",Come meet up with fellow freedom-seekers on the Esplanade!,4,Al M.,Entertainment
https://www.meetup.com/meetup-group-english-toronto/events/304869142/?recId=98b32fcd-cb3d-49db-bdb5-f0d606ec024e&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T15:00:00-05:00,TORONTO: Meet in Cafe and Practice English (Mon. 3 PM),"2432 Bloor Street West · Toronto, ON , ON","FOR PEOPLE LIVING IN TORONTOLET'S MEET IN PERSON!
Let's get together to improve your English!
On Monday at 3:00 PM, we'll sit together, practice English, have fun, and make new friends.
Join us!
Space is limited; sign up today.
Together we will discuss interesting topics in English while we socialize, laugh, and learn in an easy, effortless way. The atmosphere is relaxed.
No pressure, just practice!
We meet inside a cafe in downtown Toronto for about two hours. Friends are welcome!
MEETING LOCATION
3:00 PM
Marusya's Kitchen2432 Bloor Street West2nd floorToronto, ON M6S 1P9info@marusyaskitchen.com(437) 880-8363
MEETING INSTRUCTIONS:
-- We'll meet on the 2nd floor
-- Look for Tom: He will be wearing a light blue baseball hat.
-- Please be punctual. If you will be late, please leave a comment below.
Please join us! We look forward to meeting you.
ABOUT THE HOST
Tom is a native New Yorker: He grew up in Brooklyn. He has lived and traveled in Europe and Asia, and understands what it is like to learn a new language.
Tom earned a degree in English from Pace University. For more than 20 years, he has worked as a writer and editor for national magazines and websites.
Tom taught English speaking, writing, and pronunciation at NYC's well-known International Center for over six years. He owns a company that provides personalized adult ESL classes.
You can contact Tom (the group organizer) at:
WEBSITE:https://www.tomstutoringnyc.com
EMAIL:tom@tomstutoringnyc.com",9,Tom P.,Entertainment
https://www.meetup.com/the-history-of-parkdale/events/304307458/?recId=98b32fcd-cb3d-49db-bdb5-f0d606ec024e&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T15:00:00-05:00,Republic of Rathnelly: Independence from Toronto (LAST RATHNELLY TOUR),"230 St Clair Ave W · Toronto, ON","**The Toronto History Walks Explorer Pass is available. Get it now for $125.00 for 1 year of unlimited tours, emailtorontohistorywalks@gmail.comfor more information or for signing up!**
**Please note: Please e-transfer the ticket amount when booking your space for this tour! You can e-transfer to the following email at:torontohistorywalks@gmail.com
This is the end of an era.
The very last Rathnelly Tour is today December 8, 2024. This tour will be available, but only through private tours. It will also be incorporated into other tours that just touch on the history of this important area of Toronto. This historic tour has been around for 3 years, and has surprised so many Torontonians, including myself, read on and find out why.
In order to make room for another 520newtours that are in the back of my brain trying to get out, it's time to retire some of the older ones!
Good Bye Rathnelly it's been a slice!
The world must be spinning in the wrong direction. Something is amiss. I failed to know a fact about Toronto. Wow! Didn't know this little fact about our beloved Toronto.
Ok let's see if I can make this clear. It's a fascinating story about a fascinating district of Toronto.
The first settlers divided the area that would become South Hill into residential plots. This activity started in and around 1793, including the land given to Peter Russell. That's where Russell Hill Road comes into the picture. So far so good! Everyone on board? Ok perfect!
The wealthiest citizens of Toronto built large mansions that included John Macdonald's Oaklands, the Eaton's Ardwold, Glenedyth, Spadina, Casa Loma, and outrageously beautiful Rathnelly.
Toronto annexed the area beginning in 1905. The southeastern section of South Hill is known as Rathnelly from the former ""Rathnelly,"" house built in 1830. But now this is where things get a little like mud on a rainy day in April in York. All downhill from here!
On July 1, 1967, the Rathnelly neighbourhood declared itself an independent republic from Toronto and Canada. Excuse me! Say that again! And a little louder, it proclaimed independence from Canada! Ok then.
The Republic of Rathnelly celebrates with a party in June, referred to as ""Rathnelly Day.""
Well OK then! Interesting fact about Toronto. And I called myself a Toronto expert...............
And just for fun you might want to check out this cool video about Rathnelly, it's Toronto history at its all time best!Have a look at this link,
https://www.cbc.ca/player/play/916491843661/
This walk is for all walking levels and fitness skills. Please dress for the season and bring water. And remember to bring your love of history as well. Hope to see you there.
This walking tour begins and ends at Timothy Eaton Memorial Church at 230 St. Clair Avenue West. We return to the starting point after the walk!
This tour has a ticket price of $15.00 per person.
**Please note: Please e-transfer the ticket price when booking your space for this tour! You can e-transfer to the following email at:torontohistorywalks@gmail.com",11,Harley Karulis .,Business
https://www.meetup.com/comedy-improv-toronto/events/304429711/?recId=98b32fcd-cb3d-49db-bdb5-f0d606ec024e&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T21:00:00-05:00,The Ultimate Mix & Mingle Pub Party!,"3185 Yonge street (just north of Lawrence avenue) · Toronto, ON","Hello everyone,
Please join us for a great night at this wonderful venue(Taverna Yiannis Greek Grill & Pub)conveniently located at Yonge & Lawrence; (literally right beside the subway with free parking on Lawrence and plenty of parking on Yonge street.)
*Including a funsocial party ice breaker game-fast and easy way to get to know everyone when you arrive
*Arrive between 9 pm and 9:30 to mix and mingleDancing shortly after that :)
*With hired DJ, all request music, dancing, expanded dance floor and disco lights just after 9:30 pm for those that want to dance the night away!
-Joined by my other social groups so we can anticipate an amazing turn out- feel free to invite your friends out too if you like :)
GOOD VIBES ONLY :)------
Event Details below:
Steve FlemmingOrganizer & Host------------Event Details:
The Ultimate Mix & Mingle Pub Party!
*Including a funsocial party ice breaker game-perfect to get to know everyone when you arriveThen just after 9:30 pm get ready to dance the nigh away to the very best of the 70s to 2000s (along with your great requests too)*Plenty of street parking on Lawrence and Yonge street*Also right beside the Yonge/Lawrence subway station- (North side Exit)-----------------------------
Event Fee: (Cash only at the door)10 dollars at the door (cash only please)or e transfer to steveflemming11@gmail.com*celebrate your birthday with us too if you like :)
Includes:Co-ordination of the event, Social Icebreaker Game, Mix & Mingle, All Request Dance Party, Amazing people who love to dance, Drinks Specials, Reserved Seating, Fabulous Service and Wonderful Dinner & Appetizer Menu too---------------------------------------",55,Steve,Entertainment
https://www.meetup.com/successful-motivated-for-life/events/304770985/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T20:00:00-05:00,Fast Dating and Modern Relationships,Online,Join us for an engaging two-hour Zoom session where a professional coach will guide you through the proven fast Dating and modern Relationships. This interactive session includes practical case studies to help you apply the concepts to real-life situations.Invite your family and friends-there's plenty of room for everyone! Don't miss this opportunity to take a step closer to finding the love you deserve.,35,Joao M. and Jameshia M.,Entertainment
https://www.meetup.com/toronto-science-fiction-book-club/events/304667476/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T18:30:00-05:00,Book Club Holiday Party!,"557 Church St, · Toronto, ON","Let's go out after our next book club meeting to celebrate the season and continue our fun conversations about everything sci-fi!
Meet at Cafe Our Hours at 6:30pm if you can't attend the regular meeting, so we can all go out together. You are NOT required to read this month's book in order to join us!
We will try for Storm Crow, however we have to play it by ear because booking in advance enforces minimum purchases from everyone. It's disappointing. If Storm Crow is full, we'll walk down the street to one of the many pubs in the area.",13,Jonathan W. and Alan M.,Entertainment
https://www.meetup.com/blockchaininbusiness/events/304154216/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T19:00:00-05:00,"Web 3.0: Exploring DAOs, NFTs, Cryptos, and RWAs",Online,"Welcome to Blockchain in Business, the premier destination to learn, share, explore, and practice all things related to blockchain. Whether you're a seasoned expert or a curious beginner, our platform offers a wealth of resources and opportunities to help you expand your knowledge and skills. Join our vibrant community of blockchain enthusiasts and discover the endless possibilities of this revolutionary technology.
Come and share your enthusiasm, knowledge, and curiosity for Web3.0 with others. Bring your new projects and let's explore together!",32,Marilyn T. and Zed,Entertainment
https://www.meetup.com/ca-badminton-meetup-toronto-group-gta/events/304871571/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T19:00:00-05:00,$15 Saturday Night 7 PM-10 PM Drop In & Free lesson @ CA Badminton,"1370 Birchmount rd, unit 6 · Scarborough, ON","$15 Drop in & Free Lesson Saturday Night Drop In @ CA Badminton_**************Join our group to play and learn badminton for free lesson! In each session , you will play and enhance your badminton techniques with aToronto gold medal coach. Each class is rich with a variety of contentincluding stroke, footwork techniques, Strategies and more. All skilllevels are welcome to join!
*Includes plastic birdies, please try to have cash and pay before playing.(EMT or Debit card is accepted*plus tax)*** Not registered $18Location: 1370 Birchmount Rd, Unit 6*The close intersection in Birchmount Rd & Lawrence Ave.
Time: Saturday 7 PM-10 PM Drop In*** 7 PM-8 PM 3 Court available
*** Please bring your own racquet (Racquets can be rented in the club)*** please bring indoor gym sport shoes (Change shoes in the club)
*This weekly gathering is for all levels (beginner to advance) badminton players.*No outside food allowed.*This event is for the purpose of playing friendly double games andfor all levels of player from beginner to advance. please do not use thisas an opportunity to do training and singles games.
Attendance in effect-Please give at least 24hr notice in advance for cancelation so others may have time to react. Late show and no-shows maybe permanently removed from group and unable to rejoin.",9,Alfred L. and Wendy,Entertainment
https://www.meetup.com/toastmasters-district-60-new-division-d/events/304756475/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-19T18:30:00-05:00,Deer Park Toastmasters IN-PERSON Meeting (Guests welcome),"40 St Clair Ave E, St. Clair subway station · Toronto, ON","This event will be an open house with snacks and a guest speaker. If you've visited before or are considering Toastmasters for the first time, this is a great time to visit and mingle with the club!
## Details
We are a welcoming place and space to develop your public & virtual speaking, presentation and leadership skills.Meeting Agendasinclude:• Reading of Our Mission statement• Guest Introductions• Introduce a Word Of The Day• Table Topics impromptu speaking opportunities (if you're comfortable!)• Toastmaster Toast on a chosen Theme for the meeting• Speakers• Speech Evaluations and more... We look forward to meeting you soon!",1,Deer Park Toastmasters - VP P.,Business
https://www.meetup.com/psychic-medium-catherine/events/303421165/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T10:00:00-05:00,Psychic Medium Catherine,Online,"I help individuals in knowing the passing of a soul, known, unknown ancestor, or unknown spirits as you could be a messenger for a loved one that has past for other people in your life, by providing evidential information that their souls exist with a personal message.
Spirits organizes themselves to me in their agreed order of presentation prior to the session. I respect and honour their decisions. If you don't receive a message please join subsequent sessions.
Please have your video working before and during the session.
WEBSITE:psychicmediumbycatherine.com
Information given in this session is for informational purposes and is not a substitute for other professional advice.",30,Rev. Catherine M.,Entertainment
https://www.meetup.com/singles-supporting-singles/events/304815985/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-20T20:00:00-05:00,"Mix, Mingle and Movie Night! (Friday December 20th) (Yonge and Eglinton)","2300 Yonge Street · Toronto, ON","Happy Holidays everyone,
A fun evening planned for us as we will enjoy a pre-movie mix and mingle (V.I.P lounge), see a film, then enjoy a post discussion after the film at a close by cozy pub.
*Joined by my other groups too; so we can anticipate a great turn out
*Meet me and the others right outside the box office beside the air hockey and arcade games)(8:00 to 8:30 pm)
Kindly read the details carefully below:
Sincerely,
Steve Flemming(Organizer/Host)
Event Details:Mix, Mingle and Movie Night!(Friday December 20th) (Yonge and Eglinton)
-A great night to mix, mingle, make new friends and go see a movie; than hang out after for a little discussion over a cold or hot beverage.
--------------------Event Fee:for Mix and Mingle (before and after film; and organization of event)4 dollars by e transfer in advance to steveflemming11@gmail.comor5 dollars day of event ( by cash or e transfer)-----------------(Movie fee- separate) (Movie choice is optional but encouraged that we all see the same film) (Not mandatory to see the same movie though)
Where and When to Find Us?
Location:(Inside Yonge & Eglinton Centre)2300 Yonge Street, Toronto, ON M4P 1E4
(We will meet out front of box office beside the air hockey table and arcade)(Simply walk up the steps from the outside and come into the Centre- turn left and we will be waiting right there)
Arrive between 8 pm and 8:30 pm(We will head to the V.I.P. lounge for a beverage before heading to see the film)
Parking and Close to the Yonge and Eglinton subway(Lots of parking in the area and 2 minute walk from the subway)",25,Steve,Entertainment
https://www.meetup.com/more-than-a-classic-book-club/events/304241849/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T15:00:00-05:00,Sonny's Blues by James Baldwin (short story),"1 Trinity St · Toronto, ON","In December we'll read Sonny's Blues, a short story by James Baldwin.
If you can't find the book at the library or in bookstore, here's the link https://sfponline.org/Uploads/372/sonnysblues.pdf
About the book:In this short story, Baldwin explores the relationship between two brothers in Harlem, one of whom, Sonny, is a jazz musician struggling with addiction. Told from the perspective of the older brother, the narrative grapples with the themes of suffering, artistic expression, and the search for redemption. Music becomes a central symbol, representing both pain and hope.",12,Aida K.,Entertainment
https://www.meetup.com/toronto-guitar-meetup/events/304374741/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T18:00:00-05:00,Open Jam Night,"116 Bond St · Toronto, ON","The Toronto Guitar School is holding our second Open Jam night for musicians of every instrument. All ages and levels of players from intermediate to advanced are encouraged to attend.
ABOUT THE TORONTO GUITAR SCHOOL'S JAM NIGHTS
Due to our location, right in the heart of the biggest music scene in the country, as well as our access to top of the line equipment for performance and recording, the Toronto Guitar School is uniquely positioned to offer incredible jamming opportunities for the Toronto music community. The Toronto Guitar School also has been running our highly popular Rock Band and Ensemble program for over 10 years.
If you are new to our Open Jam Nights please arrive early (10-15 mins prior / 5:45 PM) so we can assess your skill level and musical interests in order to place you with musicians of similar skill level and stylistic preference. A brief audition ensures that you are matched with like-minded and amicable band members so that no time is wasted playing in a group that is either too basic or advanced for you. Our Open Jams occur on a monthly basis at our facility for the nominal fee of $10 for Toronto Guitar School or Mint Music Members and $15 for those not connected with the school. The jam is very well organized and runs a total of 2 hours in multiple rooms that are perfectly outfitted with everything you will need to rehearse and make great music together.
OPEN JAM SCHEDULE
6:00 PM – Orientation and Auditions. For those who have already attended our Open Jams or participated in our Band program you can immediately proceed to our band rehearsal rooms and start jamming with others.
8:00 PM – Open Jam ends
INSTRUCTOR INVOLVEMENT
The bands that are formed in our open jam nights are intended to function in a self-directed fashion with people sharing the chair for certain instruments (i.e. guitar and bass) so that everyone gets a chance to play. For ease of convenience we have binders with music charts for each specific instrument (e.g. piano, guitar, bass, drums, voice, saxophone, trumpet, ukulele etc.) to make it easier to play the tunes together. We are constantly updating and improving our song lists so if there is a piece you think should be added to our rehearsal binder please let us know and we will do our best to add it in time for the next session.
While music instructors will be present at the jam, they are not there to direct the Open Jam, assign songs, or any other heavy handed roles. Instructors are present at the event in case that a musician or band should want advice or assistance and to make sure things run smoothly without technical glitches or any other major issues.
WHAT IT COSTS
If you are already a student of Mint Music or The Toronto Guitar School the discounted rate for the Open Jam is $10. This amount is paid upfront before you enter any of our three rehearsal rooms. Each participant gets a wrist band and can stay as little or as long as they like. You will find that we have many people participating in our jam nights so please bring exact change to speed up the payment process. If you are not a student of Mint Music or the Toronto Guitar School the Open Jam will cost $15. This fee helps go to covering the cost of the rooms, upkeep of equipment, and instructor fees for the evening.
WHO CAN PLAY?
Our Open Jam is accessible to all ages. Our band program is primarily geared to adults but if you are a teen we do have a teen band so please contact the school office in advance so we can be sure to connect you to other teens your age at the jam.
PERFORMANCE OPPORTUNITIES
The Toronto Guitar School is proud to organize three live band showcases each year open to our students. A full PA, backline, and sound engineer are provided by the school, again at no extra cost to participants. Our last major showcase was held at the Jazz Bistro in Toronto. Some of our bands even pursue their own performance opportunities outside of the school’s involvement.
RECORDING OPPORTUNITIES
The Toronto Guitar School features a top of the line recording studio that bands can use to record demos, and bands have also used our facilities to record professional music videos.",6,Glen A.,Entertainment
https://www.meetup.com/geekzunited/events/304677026/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T17:30:00-05:00,North York Boardgaming,"89 Church Ave. · North York, ON","Time:5:30pm until 9:30pm every Tuesday evening
​Location:Mitchell Field Community Centre
Address:89 Church Ave., a couple blocks east of Yonge Street
​​​Transit:About a 15 minute walk from either North York or Finch stations
Parking:There are 2 parking lots near the community centre. Main lot along the east side of the building is nearest the main entrance. The other lot is located near the Arena.
Games
We play a variety of hobby or European style boardgames. Players of all experience levels are welcome. Games will be selected onsite from those available. All attendees are encouraged to bring a game or two that they can teach. Post on the meetup discussion to suggest games and gauge interest in specific titles.
This weekly drop in event allows flexibility and no advance commitment. There is a core attendance of 5-10 players and new players are always welcome! RSVPs are not required.",5,Hari Z.,Entertainment
https://www.meetup.com/ddmba-ontario-chan-buddhist-discussion-group/events/304604765/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-06T19:00:00-05:00,Friday Evening Meditation at University of Toronto,"569 Spadina Ave. · Toronto, ON","We are meeting at the Multifaith Centre every Friday evening from 7 pm to 9 pm in the Third Floor Quiet room, for periods of 8-fold moving exercise, sitting meditation, and walking meditation in the tradition of Chan Buddhism. The session ends with a tea-sharing and discussion.All are welcome and this event is free of charge!",5,Keith B.,Entertainment
https://www.meetup.com/toastmasters-district-60-new-division-d/events/304678943/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T18:50:00-05:00,Grow Your Leadership & Communication Skills with Blossoming Voices Toastmasters," · Toronto, ON","Invest in yourself by joining Blossoming Voices Toastmasters Club. In this safe, supportive environment, you will develop your leadership potential and public speaking skills. We hold a combination of in person and online meetings. Pay us a visit and see what we're about! Message us for meeting details. You can also contact us by email at blossomingvoicestm@gmail.com.",2,Cdapanda and Monti,Business
https://www.meetup.com/canasian-station/events/304697343/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T18:30:00-05:00,[CAS] ENG x JP Language Exchange (英語ｘ日本語!),"101 College St · Toronto, ON","日本語は下をご覧ください！
A warm welcome to CanAsian Station’s In-Person English x Japanese Meetup!
A weekly event where we invite you to enjoy sharing language and culture with each other. We’re a supportive and attentive bunch, so please come prepared to absorb but also to contribute to theAWESOMEenvironment we have created. In doing so, you are sure to gain a lot of knowledge about cultures, have fun learning a language quickly, and make great friends along the way! 😊
- Beginners are welcome, what’simportantis you’re willing to learn!- Short on ideas? Fear not! We provide new topics each week ,also doubling as study material!
We have aone-timeregistration fee of $10. This isOPTIONALfor very first attendees, but will becomemandatory from second attendance onwards. Proceeds go towards paying our Zoom/Meetup account fees, event materials and large group events!
A token of appreciation, you will also receive some goodies to make your language exchange experience a fruitful one:
Our participation fee is $4 per event. All fees are to be E-transferred tocanasianstation@gmail.comWe also accept payment in cash, but please be advised that E-Transfers are preferred.
Event Flow
Looking very forward to meeting and sharing with you all!😊
CanAsian Stationの英語×日本語 〈対面〉言語交換会へようこそ！(オンラインの言語交換会も開催中！詳細はイベントのページから)私たちは、毎週楽しく言語や文化をお互いに共有することを目的としたグループです。
CanAsian Station言語交換会のポイント！・言語交換だけでなく、文化についても触れるため、新しい知識を知ることが出来る・トロントでの新しい人との出会いを提供・会話が途切れない様、毎週お題を用意・色々な人と話せる様、各セッション毎に席替え・各セッションに20分ずつの英語と日本の言語交換の時間がある・メンバーは意欲的でアットホームな雰囲気・英語が不安な方にはサポートあり
登録と席案内のため、イベント開始10分前の到着をお願いしております。
【お支払い方法】〈初回のみ〉登録費として$10を頂戴しております。登録費はZoomやMeet upのアカウント料金、イベント機材、大規模なグループイベントなどに充てられます。⇒この登録費は、一度お支払い頂くとCanAsian Stationの全てのイベントに参加可能！⇒初めてご参加いただく方で希望される方は初回無料のオプションを用意しております！・各イベントには参加費として〈毎回$3を頂戴しております。
お支払い方法は、canasianstation@gmail.comへE-Transfer(優先)か、もしくは現金も受け付けております。
登録費をお支払い頂いた方には、感謝のお気持ちとして以下のギフトをご用意しております✨•オリジナルノートブック•オリジナルペン•ネームホルダー
この言語交換の機会をより実りのある体験にするよう努めてまいります✨皆さんとお会い出来ることを楽しみにしております！😊",4,Calvin T. and 2 others,Entertainment
https://www.meetup.com/changeling-gaming-toronto/events/304761564/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T19:00:00-05:00,Drop-In Board Game Designer Night @ The Black Pony in East End Toronto,"1481 Gerrard St E · Toronto, ON","Hello and welcome to Changeling Gaming! Together withThe Black Pony, we invite you to join us for a fun night of testing out interesting new board games in the process of being designed. Bring your own design and we'll do our best to ensure everyone gets their turn on the table!
Whether you're a seasoned gamer or new to the world of board games, everyone has useful feedback to provide. Test out new games, challenge your friends, and make new connections with fellow board game lovers along the way. Come as a group or solo and we can help pair you with a community table. Our events are a great way to connect with members of local communities and are perfect for folks arriving in Toronto looking to meet new people.
Pay-what-you-can:For this Changeling Gaming gathering, there are no tickets being sold. Instead, we only ask for folks to pay what they can to help us organize these events by giving us a tip onKo-fior by becoming aChangeling Member.
- SCHEDULE -
- FREQUENTLY ASKED QUESTIONS -
Food & Drink:
Parking:
Transit Accessibility:
Accessibility:
About Changeling Gaming:Changeling Gaming is a collective of board game instructors who host game experiences in Toronto and together create game content forYouTube. Our mission is to help folks find the right games for their tables and to create safe, accessible, and welcoming community spaces to play games and make new friends along the way.
To learn more about us, please visit ourLinktree.",3,Emilie D. and Jeremy P.,Entertainment
https://www.meetup.com/toastmasters-district-60-new-division-d/events/304756470/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T18:30:00-05:00,Deer Park Toastmasters IN-PERSON Meeting (Guests welcome),"40 St Clair Ave E, St. Clair subway station · Toronto, ON","December 2024 events will be open houses with snacks and a guest speaker. If you've visited before or are considering Toastmasters for the first time, this is a great time to visit and mingle with the club!
## Details
We are a welcoming place and space to develop your public & virtual speaking, presentation and leadership skills.Meeting Agendasinclude:• Reading of Our Mission statement• Guest Introductions• Introduce a Word Of The Day• Table Topics impromptu speaking opportunities (if you're comfortable!)• Toastmaster Toast on a chosen Theme for the meeting• Speakers• Speech Evaluations and more... We look forward to meeting you soon!",1,Deer Park Toastmasters - VP P.,Business
https://www.meetup.com/toronto-rosicrucian-regional-cultural-centre-amorc/events/304559863/?recId=ebfe4ed3-7ec2-4c52-a827-650045b73866&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T19:00:00-05:00,Council of Solace / Open Meeting,Online,"Toronto Lodge invites you to a Council of Solace followed by an Open Meeting. The topic for the Open Meeting is ""Traits of a True Mystic” by Sven Johansson, The Rosicrucian Beacon, March 2023Non-members are welcome to both events.
Location:7:00 pm - Council of Solace, Toronto Lodge 831 Broadview Avenue, Toronto, ON7:30 pm - Open Meeting, Rosicrucian Cultural Centre, 835 Broadview Avenue, Toronto, ON",8,Helen M.,Entertainment
